symbol,variant,kind,blend_mode,dwell,maker,n_bars,n_windows,n_trades_oos,avg_is_sharpe,avg_oos_sharpe,oos_positive_frac,seconds
XRPUSDT,sup:official:regime_soft:d3:vhv,regime_supervisor,regime_soft,3,True,8761,12,145,-0.4714,-0.2335,0.3333,43.6
AAVEUSDT,sup:split:best_prior:d3:base,regime_supervisor,best_prior,3,True,8761,12,110,-1.2487,-0.54,0.25,3.9
AVAXUSDT,sup:split:best_prior:d3:base,regime_supervisor,best_prior,3,True,8761,12,133,-0.8829,-0.1654,0.5833,3.7
LINKUSDT,sup:split:best_prior:d3:base,regime_supervisor,best_prior,3,True,8761,12,98,-0.3438,-0.0468,0.4167,3.6
UNIUSDT,sup:split:best_prior:d3:base,regime_supervisor,best_prior,3,True,8761,12,106,-0.4591,-0.0737,0.5,2.8
XRPUSDT,sup:split:best_prior:d3:base,regime_supervisor,best_prior,3,True,8761,12,122,-0.5142,-0.5965,0.1667,3.6
AAVEUSDT,sup:split:best_prior:d3:both,regime_supervisor,best_prior,3,True,8761,12,81,-1.7697,-0.6029,0.25,3.7
AVAXUSDT,sup:split:best_prior:d3:both,regime_supervisor,best_prior,3,True,8761,12,98,-1.2383,-0.5986,0.4167,3.6
LINKUSDT,sup:split:best_prior:d3:both,regime_supervisor,best_prior,3,True,8761,12,81,-0.6266,-0.1993,0.4167,4.2
UNIUSDT,sup:split:best_prior:d3:both,regime_supervisor,best_prior,3,True,8761,12,77,-0.7628,-0.0731,0.4167,2.6
XRPUSDT,sup:split:best_prior:d3:both,regime_supervisor,best_prior,3,True,8761,12,89,-1.3243,-0.9255,0.1667,3.6
AAVEUSDT,sup:split:best_prior:d3:tdg,regime_supervisor,best_prior,3,True,8761,12,84,-1.608,-0.5818,0.25,4.2
AVAXUSDT,sup:split:best_prior:d3:tdg,regime_supervisor,best_prior,3,True,8761,12,104,-1.1663,-0.3631,0.4167,3.8
LINKUSDT,sup:split:best_prior:d3:tdg,regime_supervisor,best_prior,3,True,8761,12,82,-0.712,-0.1446,0.4167,3.7
UNIUSDT,sup:split:best_prior:d3:tdg,regime_supervisor,best_prior,3,True,8761,12,78,-0.9378,-0.1532,0.4167,2.9
XRPUSDT,sup:split:best_prior:d3:tdg,regime_supervisor,best_prior,3,True,8761,12,93,-1.4536,-0.9347,0.0833,4.0
AAVEUSDT,sup:split:best_prior:d3:vhv,regime_supervisor,best_prior,3,True,8761,12,108,-1.5807,-0.5773,0.1667,4.0
AVAXUSDT,sup:split:best_prior:d3:vhv,regime_supervisor,best_prior,3,True,8761,12,125,-1.0258,-0.3943,0.5,3.6
LINKUSDT,sup:split:best_prior:d3:vhv,regime_supervisor,best_prior,3,True,8761,12,97,-0.4743,-0.1042,0.5,3.6
UNIUSDT,sup:split:best_prior:d3:vhv,regime_supervisor,best_prior,3,True,8761,12,105,-0.2325,0.0302,0.5833,2.9
XRPUSDT,sup:split:best_prior:d3:vhv,regime_supervisor,best_prior,3,True,8761,12,119,-0.7196,-0.5394,0.25,4.0
AAVEUSDT,sup:split:regime_soft:d3:base,regime_supervisor,regime_soft,3,True,8761,12,1020,-1.0179,-0.1427,0.5833,10.5
